SC #,Bartlett 1939 #,Bartlett 1916 #,Title,Year
275.5,290,0,1 Henry IV,1639
433,463,0,Julius Caesar,1695
469,483,0,Julius Caesar,1695
347,360,0,Henry V,1619
932.5,894,0,Othello,1687
490,0,346,King Lear,1619
89.5,48,0,Hamlet,1637
901,877,0,Othello,1681
229,235,148,1 Henry IV,1613
1242,1014,716,Richard II,1634
200,217,132,1 Henry IV,1599
637,620,424,The Merchant of Venice,1600
914,885,635,Othello,1681
855,832,0,Othello,1630
1255,1013,0,Richard II,1634
952,910,646,Othello,1695
320,377,0,Henry V,1619
181,145,0,Hamlet,1695
957,916,0,Othello,1695
1259,1021,0,Richard II,1634
689,672,0,The Merchant of Venice,1637
385,400,300,Julius Caesar,1684
491,516,337,King Lear,1619
95,75,0,Hamlet,1637
1534,0,869,Titus Andronicus,1611
653,641,448,The Merchant of Venice,1619
267,282,189,1 Henry IV,1639
332,375,265,Henry V,1619
499,525,357,King Lear,1619
787,766,556,A Midsummer Night's Dream,1619
128,102,72,Hamlet,1683
335.9,392,0,Henry V,1619
1386,1154,0,Romeo and Juliet,1637
953,913,648,Othello,1695
112,88,0,Hamlet,1676
438,462,0,Julius Caesar,1695
454,470,282,Julius Caesar,1695
293,344,0,2 Henry IV,1600
384,399,299,Julius Caesar,1684
391,407,268,Julius Caesar,1684
1290,1052,746,Richard III,1612
706,685,479,The Merchant of Venice,1652
1210,976,0,Richard II,1598
417.5,439,0,Julius Caesar,1691
173,136,102,Hamlet,1695
134,101,76,Hamlet,1683
531,544,363,King Lear,1655
434,456,278,Julius Caesar,1695
703,675,470,The Merchant of Venice,1652
888,859,616,Othello,1655
424,440,318,Julius Caesar,1691
916,886,637,Othello,1681
845,827,0,Othello,1630
1217,980,0,Richard II,1608
139,107,75,Hamlet,1683
715,697,0,The Merry Wives of Windsor,1619
844,837,599,Othello,1630
149,118,0,Hamlet,1683
405,422,0,Julius Caesar,1691
802,767,0,A Midsummer Night's Dream,1619
515,526,0,King Lear,1619
78,53,41,Hamlet,1637
1478.5,1172,844,The Taming of a/the Shrew,1631
1384,1141,821,Romeo and Juliet,1637
1557,1215,0,Troilus and Cressida,1609
149.5,119,0,Hamlet,1683
1253,1017,709,Richard II,1634
449,466,0,Julius Caesar,1695
1392,1151,828,Romeo and Juliet,1637
432,478,0,Julius Caesar,1695
1368,1125,0,Romeo and Juliet,1609
621,598,407,Macbeth,1673
870,824,592,Othello,1630
100,57,45,Hamlet,1637
638,611,418,The Merchant of Venice,1600
456.5,474,293,Julius Caesar,1695
59,39,0,Hamlet,1625
1312,1076,765,Richard III,1629
600,569,0,Love's Labors Lost,1631
497,520,351,King Lear,1619
931,906,0,Othello,1687
119,90,80,Hamlet,1676
110,87,73,Hamlet,1676
401,419,307,Julius Caesar,1691
399,408,0,Julius Caesar,1684
459.5,479,0,Julius Caesar,1695
125,99,0,Hamlet,1683
378,403,0,Julius Caesar,1684
240,248,159,1 Henry IV,1622
937,896,0,Othello,1687
1201,968,676,Richard II,1598
773,751,534,A Midsummer Night's Dream,1619
1203,974,682,Richard II,1598
1200,965,0,Richard II,1597
337,387,0,Henry V,1619
938,898,0,Othello,1687
1487,1180,852,The Taming of a/the Shrew,1631
1292,1056,0,Richard III,1612
597,590,0,Love's Labors Lost,1631
